m_H,tanb,Br_B_Xs_H,Br_K_pi_H,Br_eta_pi_H,Br_eta_prime_pi_H,Br_pi_semilep,Br_K_semilep,Br_Upsilon_gamma_H,Br_B_Xs_HH,Br_K_pi_HH
1.0000000000e-02,1.7475284000e+03,1.3620245414e-05,3.8666646983e-12,9.8404489955e-25,1.0586320232e-27,6.1781435025e-16,1.2766953303e-14,8.1859778860e-25,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.8738174229e+03,1.1846194817e-05,3.3630277576e-12,6.4743581999e-25,6.9650916572e-28,5.3734341494e-16,1.1104044902e-14,5.3858267113e-25,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,2.0092330026e+03,1.0303216092e-05,2.9249900326e-12,4.2596952925e-25,4.5825651328e-28,4.6735389920e-16,9.6577319782e-15,3.5435142728e-25,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,2.1544346900e+03,8.9612118928e-06,2.5440071594e-12,2.8025950121e-25,3.0150218036e-28,4.0648058770e-16,8.3998027556e-15,2.3313957323e-25,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,2.3101297001e+03,7.7940050858e-06,2.2126476865e-12,1.8439203466e-25,1.9836829885e-28,3.5353608574e-16,7.3057200689e-15,1.5339026896e-25,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,2.4770763560e+03,6.7788281344e-06,1.9244481161e-12,1.2131764454e-25,1.3051309300e-28,3.0748765796e-16,6.3541427433e-15,1.0092055310e-25,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,2.6560877829e+03,5.8958789973e-06,1.6737868278e-12,7.9818908292e-26,8.5868899289e-29,2.6743708383e-16,5.5265093135e-15,6.6398984281e-26,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,2.8480358684e+03,5.1279348687e-06,1.4557744227e-12,5.2515511254e-26,5.6496001304e-29,2.3260313692e-16,4.8066759634e-15,4.3686097453e-26,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,3.0538555088e+03,4.4600162309e-06,1.2661583512e-12,3.4551699342e-26,3.7170595972e-29,2.0230634634e-16,4.1806016250e-15,2.8742534702e-26,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,3.2745491629e+03,3.8790946635e-06,1.1012399623e-12,2.2732710778e-26,2.4455769869e-29,1.7595574296e-16,3.6360740937e-15,1.8910668386e-26,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,3.5111917342e+03,3.3738387108e-06,9.5780235831e-13,1.4956605630e-26,1.6090263448e-29,1.5303733194e-16,3.1624718165e-15,1.2441956967e-26,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,3.7649358068e+03,2.9343928508e-06,8.3304764541e-13,9.8404477163e-27,1.0586318856e-29,1.3310406682e-16,2.7505567082e-15,8.1859768219e-27,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,4.0370172586e+03,2.5521852531e-06,7.2454235839e-13,6.4743574597e-27,6.9650908609e-30,1.1576712936e-16,2.3922939536e-15,5.3858260955e-27,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,4.3287612811e+03,2.2197605768e-06,6.3016999332e-13,4.2596948782e-27,4.5825646870e-30,1.0068834530e-16,2.0806952801e-15,3.5435139281e-27,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,4.6415888336e+03,1.9306345465e-06,5.4808972298e-13,2.8025947794e-27,3.0150215533e-30,8.7573587897e-17,1.8096826446e-15,2.3313955388e-27,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,4.9770235643e+03,1.6791674703e-06,4.7670048976e-13,1.8439202112e-27,1.9836828428e-30,7.6167040729e-17,1.5739696752e-15,1.5339025770e-27,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,5.3366992312e+03,1.4604542318e-06,4.1460977541e-13,1.2131763643e-27,1.3051308427e-30,6.6246207707e-17,1.3689585552e-15,1.0092054635e-27,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,5.7223676594e+03,1.2702286109e-06,3.6060643855e-13,7.9818904544e-28,8.5868895257e-31,5.7617573080e-17,1.1906503380e-15,6.6398981163e-28,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,6.1359072734e+03,1.1047800670e-06,3.1363709021e-13,5.2515508413e-28,5.6495998247e-31,5.0112826720e-17,1.0355669439e-15,4.3686095089e-28,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,6.5793322466e+03,9.6088136111e-07,2.7278554635e-13,3.4551697792e-28,3.7170594305e-31,4.3585581058e-17,9.0068331662e-16,2.8742533413e-28,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,7.0548023107e+03,8.3572560523e-07,2.3725495683e-13,2.2732709747e-28,2.4455768760e-31,3.7908515653e-17,7.8336841630e-16,1.8910667528e-28,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,7.5646332755e+03,7.2687151143e-07,2.0635226204e-13,1.4956605221e-28,1.6090263007e-31,3.2970893680e-17,6.8133389876e-16,1.2441956626e-28,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,8.1113083079e+03,6.3219577196e-07,1.7947467408e-13,9.8404474183e-29,1.0586318535e-31,2.8676401894e-17,5.9258947890e-16,8.1859765740e-29,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,8.6974900262e+03,5.4985164202e-07,1.5609791876e-13,6.4743573561e-29,6.9650907494e-32,2.4941271946e-17,5.1540410823e-16,5.3858260093e-29,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,9.3260334688e+03,4.7823291716e-07,1.3576600914e-13,4.2596948003e-29,4.5825646032e-32,2.1692646399e-17,4.4827220908e-16,3.5435138633e-29,4.2152840066e-05,5.4407809369e-06
